segment,day_name,week_idx,avg_exp
Lv.300,수,18,0.0
Lv.300,월,1,13572651454587.0
Lv.300,월,2,12527098192958.75
Lv.300,월,3,9123655009764.5
Lv.300,월,4,8726054085314.75
Lv.300,월,5,7705872071731.5
Lv.300,월,6,0.0
Lv.300,월,7,0.0
Lv.300,월,8,0.0
Lv.300,월,9,0.0
Lv.300,월,10,0.0
Lv.300,월,11,0.0
Lv.300,월,12,0.0
Lv.300,월,13,0.0
Lv.300,월,14,0.0
Lv.300,월,15,0.0
Lv.300,월,16,0.0
Lv.300,월,17,0.0
Lv.300,월,18,0.0
Lv.300,일,1,17362868130765.0
Lv.300,일,2,14029485436629.5
Lv.300,일,3,13172058438676.25
Lv.300,일,4,8121412618412.5
Lv.300,일,5,9510261690863.75
Lv.300,일,6,0.0
Lv.300,일,7,0.0
Lv.300,일,8,0.0
Lv.300,일,9,0.0
Lv.300,일,10,0.0
Lv.300,일,11,0.0
Lv.300,일,12,0.0
Lv.300,일,13,0.0
Lv.300,일,14,0.0
Lv.300,일,15,0.0
Lv.300,일,16,0.0
Lv.300,일,17,0.0
Lv.300,일,18,0.0
Lv.300,토,1,18584104980281.25
Lv.300,토,2,12843280741201.75
Lv.300,토,3,10082083207104.25
Lv.300,토,4,9064083861814.75
Lv.300,토,5,9083548571911.25
Lv.300,토,6,0.0
Lv.300,토,7,0.0
Lv.300,토,8,0.0
Lv.300,토,9,0.0
Lv.300,토,10,0.0
Lv.300,토,11,0.0
Lv.300,토,12,0.0
Lv.300,토,13,0.0
Lv.300,토,14,0.0
Lv.300,토,15,0.0
Lv.300,토,16,0.0
Lv.300,토,17,0.0
Lv.300,토,18,0.0
Lv.300,토,19,0.0
Lv.300,화,1,13031900412294.5
Lv.300,화,2,11939707252156.0
Lv.300,화,3,6809687618181.75
Lv.300,화,4,9589553484144.25
Lv.300,화,5,5511759706282.5
Lv.300,화,6,0.0
Lv.300,화,7,0.0
Lv.300,화,8,0.0
Lv.300,화,9,0.0
Lv.300,화,10,0.0
Lv.300,화,11,0.0
Lv.300,화,12,0.0
Lv.300,화,13,0.0
Lv.300,화,14,0.0
Lv.300,화,15,0.0
Lv.300,화,16,0.0
Lv.300,화,17,0.0
Lv.300,화,18,0.0
